RespId     	Model Name               	Context	Temp	Duration	Eval Tokens	QPC	Model Query Prompt	Eval Duration	Prompt Eval Tokens	Tokens Per Second	Web Search	Docs	Web Search URL	CPU_GPU	RAM	OS	Computer	Server	Response File
a12_t001.01	 qwen2:0.5b               	 8000	0.07	  11.54	  336	QP1	Summarize the key events...	   9.45	   572	 35.57	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a12_search-web-app/25.04.Apr/_t001_Run1-qwen2 on bt04st/a12_t001.01.4.50410.0422_Response.txt
a12_t002.01	 gemma2:2b                	 8000	0.07	  22.70	  419	KN1	Explain the key differen...	  19.34	   568	 21.67	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a12_search-web-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a12_t002.01.4.50410.0422_Response.txt
a12_t002.02	 gemma2:2b                	 8000	0.07	   3.04	   67	KN2	Summarize the major clim...	   2.77	   571	 24.15	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a12_search-web-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a12_t002.02.4.50410.0422_Response.txt
a12_t002.03	 gemma2:2b                	 8000	0.07	  21.39	  450	KN3	What are the primary cha...	  21.08	   571	 21.34	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a12_search-web-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a12_t002.03.4.50410.0422_Response.txt
a12_t002.04	 gemma2:2b                	 8000	0.07	   6.76	  138	KN4	Compare and contrast dif...	   6.37	   565	 21.68	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a12_search-web-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a12_t002.04.4.50410.0422_Response.txt
a12_t002.05	 gemma2:2b                	 8000	0.07	  23.53	  497	KN5	Explain how CRISPR gene ...	  23.29	   566	 21.34	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a12_search-web-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a12_t002.05.4.50410.0422_Response.txt
a12_t002.06	 gemma2:2b                	 8000	0.07	   3.34	   63	RE1	Analyze the potential ec...	   2.88	   569	 21.87	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a12_search-web-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a12_t002.06.4.50410.0422_Response.txt
a12_t002.07	 gemma2:2b                	 8000	0.07	  13.74	  282	RE2	Consider the philosophic...	  13.41	   575	 21.03	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a12_search-web-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a12_t002.07.4.50410.0422_Response.txt
a12_t002.08	 gemma2:2b                	 8000	0.07	  14.51	  296	RE3	What are the tradeoffs b...	  14.07	   569	 21.04	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a12_search-web-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a12_t002.08.4.50410.0422_Response.txt
a12_t002.09	 gemma2:2b                	 8000	0.07	  18.43	  384	RE4	Evaluate the arguments f...	  18.01	   565	 21.32	roman empire	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	5 Sources, 1894 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a12_search-web-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a12_t002.09.4.50410.0422_Response.txt
