RespId       	HW CD 	Model Name                 	Context	 Temp	TPS	  Duration	 Sc	 or	 es	      Date Time   	UPC	Model User Prompt	 Eval Duration	Eval Tokens	Prompt Eval Tokens	SysPmtCd	Model System Prompt	  Web Search Prompt    	Doc-File Name          	Web Search URL         	CPU_GPU                	RAM	OS       	Computer 	Server                               	Response File	
s12_t011.01  	cn0g0p	llama3.2:3b                	   4000	  0.3	115.57	   3.09	  0	  0	  0	  2025-05-12 21:29	KP0	   55	Summarize the key events...	  0.48	   62	GKN0-SIMP	Summarize the information and pr...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.01.4.50512.2129_Response.txt
s12_t011.01  	cn0g0p	llama3.2:3b                	   4000	  0.3	 67.45	   0.76	  0	  0	  0	  2025-05-12 21:31	KP0	   45	Summarize the key events...	  0.67	   62	GKN0-SIMP	Summarize the information and pr...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.01.4.50512.2131_Response.txt
s12_t011.01  	cn0g0p	llama3.2:3b                	   4000	  0.3	 62.67	   1.02	  0	  0	  0	  2025-05-12 21:44	KP0	   59	Summarize the key events...	  0.94	   62	GKN0-SIMP	Summarize the information and pr...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	sc212d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.01.4.50512.2144_Response.txt
s12_t011.01  	cn0g0p	llama3.2:3b                	   4000	  0.3	112.28	   3.03	  0	  0	  0	  2025-05-12 21:49	WEB	   46	Summarize the key events...	  0.41	   62	GKN0-WEBP	Summarize the information and pr...	                           	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.01.4.50512.2149_Response.txt
s12_t011.02  	cn0g0p	llama3.2:3b                	   4000	  0.3	 50.40	   0.66	  0	  0	  0	  2025-05-12 21:51	WEB	   29	Summarize the key events...	  0.58	   62	GKN0-WEBP	Summarize the information and pr...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	sc212d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.02.4.50512.2150_Response.txt
s12_t011.03  	cn0g0p	llama3.2:3b                	   4000	  0.3	 59.29	   1.11	  0	  0	  0	  2025-05-12 21:53	WEB	   61	Summarize the key events...	  1.03	   62	GKN0-WEBP	Summarize the information and pr...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	sc212d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.03.4.50512.2152_Response.txt
s12_t011.04  	cn0g0p	llama3.2:3b                	   4000	  0.3	110.95	   1.11	  0	  0	  0	  2025-05-12 21:54	WEB	  113	Summarize the key events...	  1.02	   62	GKN0-WEBP	Summarize the information and pr...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	sc212d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.04.4.50512.2154_Response.txt
s12_t011.05  	cn0g0p	llama3.2:3b                	   4000	  0.3	108.22	   3.23	  0	  0	  0	  2025-05-12 22:01	WEB	   43	Summarize the key events...	  0.40	   62	GKN0-WEBP	Summarize the information and pr...	roman empire               	0 Sources, 0 bytes     	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	sc212d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.05.4.50512.2201_Response.txt
s12_t011.06  	cn0g0p	llama3.2:3b                	   4000	  0.3	107.40	   2.10	  0	  0	  0	  2025-05-12 22:06	WEB	  178	Summarize the key events...	  1.66	  610	GKN0-WEBP	Summarize the information and pr...	roman empire               	5 Sources, 2596 bytes  	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	sc212d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.06.4.50512.2206_Response.txt
s12_t011.07  	cn0g0p	llama3.2:3b                	   4000	  0.3	 92.63	   2.75	  0	  0	  0	  2025-05-12 22:07	WEB	  246	Summarize the key events...	  2.66	  610	GKN0-WEBP	Summarize the information and pr...	roman empire               	5 Sources, 2596 bytes  	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	sc212d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.07.4.50512.2207_Response.txt
s12_t011.08  	cn0g0p	llama3.2:3b                	   4000	  0.3	111.06	   4.93	  0	  0	  0	  2025-05-12 22:21	WEB	  216	Summarize the key events...	  1.94	  610	GKN0-WEBP	Summarize the information and pr...	roman empire               	5 Sources, 2596 bytes  	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	sc212d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.08.4.50512.2221_Response.txt
s12_t011.09  	cn0g0p	llama3.2:3b                	   4000	  0.3	 94.53	   2.21	  0	  0	  0	  2025-05-12 22:22	WEB	  200	Summarize the key events...	  2.12	  610	GKN0-WEBP	Summarize the information and pr...	roman empire               	5 Sources, 2596 bytes  	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	sc212d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.09.4.50512.2222_Response.txt
s12_t011.01  	cn0g0p	llama3.2:3b                	   4000	  0.3	 93.96	   4.14	 10	  8	  9	  2025-05-12 22:23	WEB	  261	Summarize the key events...	  2.78	 4000	GKN0-WEBP	Summarize the information and pr...	                           	1 Source, 188485 bytes 	https://en.wikipedia.org/wiki/Roman_Empire	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.01.4.50512.2223_Response.txt
s12_t011.02  	cn0g0p	llama3.2:3b                	   4000	  0.3	109.26	   2.61	  6	  7	  8	  2025-05-12 22:26	WEB	  240	Summarize the key events...	  2.20	  610	GKN0-WEBP	Summarize the information and pr...	roman empire               	5 Sources, 2596 bytes  	https://en.wikipedia.org/wiki/Roman_Empire_(disambiguation)	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	sc212d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.02.4.50512.2226_Response.txt
s12_t011.01  	cn0g0p	llama3.2:3b                	   4000	  0.3	 97.52	   7.11	  5	 10	 10	  2025-05-12 22:40	WEB	  338	Summarize the key events...	  3.47	 4000	GKN0-WEBP	Summarize the information and pr...	                           	1 Source, 188485 bytes 	https://en.wikipedia.org/wiki/Roman_Empire	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.01.4.50512.2240_Response.txt
s12_t011.01  	cn0g0p	llama3.2:3b                	   4000	  0.3	 94.49	   4.67	 10	  7	  9	  2025-05-12 22:41	WEB	  321	Summarize the key events...	  3.40	 4000	GKN0-WEBP	Summarize the information and pr...	                           	1 Source, 188485 bytes 	https://en.wikipedia.org/wiki/Roman_Empire	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.01.4.50512.2241_Response.txt
s12_t011.01  	cn0g0p	llama3.2:3b                	   4000	  0.3	 95.11	   5.65	  8	  7	  7	  2025-05-12 22:45	WEB	  410	Summarize the key events...	  4.31	 4000	GKN0-WEBP	Summarize the information and pr...	                           	1 Source, 188485 bytes 	https://en.wikipedia.org/wiki/Roman_Empire	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.01.4.50512.2245_Response.txt
s12_t011.01  	cn0g0p	llama3.2:3b                	   4000	  0.3	 94.93	   5.91	 10	 10	 10	  2025-05-12 22:45	WEB	  447	Summarize the key events...	  4.71	 4000	GKN0-WEBP	Summarize the information and pr...	                           	1 Source, 188485 bytes 	https://en.wikipedia.org/wiki/Roman_Empire	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a12_search-web-app/25.05.May/a12_t011_llama3.2;3b_1,1-test on cn0g0p/s12_t011.01.4.50512.2245_Response.txt
